Date,Time,Tank,Quadrat,Experimental.Stage,Light.PAR,Temp.C,pH,Salinity,Conductivity,Initials,Notes,Weather,,
20180717,16:03,6,1,parental.exposure,818,29.01,NA,NA,NA,VS,Only tanks set up because histology corals are occupying the other two fiber class tanks,Stormy/Cloudy,,
20180717,16:03,6,2,parental.exposure,964,29.01,NA,NA,NA,VS,Only tanks set up because histology corals are occupying the other two fiber class tanks,Stormy/Cloudy,,
20180717,16:03,7,1,parental.exposure,915,29.05,NA,NA,NA,VS,Only tanks set up because histology corals are occupying the other two fiber class tanks,Stormy/Cloudy,,
20180717,16:03,7,2,parental.exposure,125,29.05,NA,NA,NA,VS,Only tanks set up because histology corals are occupying the other two fiber class tanks,Stormy/Cloudy,,
20170718,14:15,5,1,parental.exposure,76,27.63,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,5,2,parental.exposure,73,27.59,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,6,1,parental.exposure,79,28.49,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,6,2,parental.exposure,74,28.52,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,7,1,parental.exposure,84,28.88,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,7,2,parental.exposure,59,28.94,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,8,1,parental.exposure,104,27.67,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,14:15,8,2,parental.exposure,103,27.6,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:54,5,1,parental.exposure,25,28.19,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:55,5,2,parental.exposure,28,28.17,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:53,6,1,parental.exposure,27,29.59,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:54,6,2,parental.exposure,25,29.61,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:55,7,1,parental.exposure,25,29.92,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:55,7,2,parental.exposure,23,29.93,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:56,8,1,parental.exposure,23,28.07,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20170718,18:57,8,2,parental.exposure,25,28.02,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20180719,13:00,5,1,parental.exposure,229,27.93,NA,NA,NA,VS,Put loggers in at 17:03/added another heater to the exposure tanks,Stormy/Cloudy,,
20180719,13:00,5,2,parental.exposure,185,27.91,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:03,6,1,parental.exposure,360,30.14,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:04,6,2,parental.exposure,354,30.15,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:01,7,1,parental.exposure,360,30.29,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:01,7,2,parental.exposure,363,30.3,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:04,8,1,parental.exposure,225,27.95,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,13:05,8,2,parental.exposure,194,28.13,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:05,5,1,parental.exposure,24,28.15,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:04,5,2,parental.exposure,25,28.16,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:03,6,1,parental.exposure,26,29.64,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:03,6,2,parental.exposure,27,29.62,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:06,7,1,parental.exposure,24,29.89,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:07,7,2,parental.exposure,24,29.9,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:05,8,1,parental.exposure,23,28.05,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180719,18:06,8,2,parental.exposure,25,28.08,NA,NA,NA,VS,Put pendant into carboya at 13:21 on 20180719,Stormy/Cloudy,,
20180720,12:43,5,1,parental.exposure,233,27.99,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:41,5,2,parental.exposure,201,27.97,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:40,6,1,parental.exposure,355,30.22,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:41,6,2,parental.exposure,363,30.19,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:44,7,1,parental.exposure,345,30.33,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:44,7,2,parental.exposure,355,30.31,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:43,8,1,parental.exposure,233,27.96,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,12:43,8,2,parental.exposure,201,28.15,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:28,5,1,parental.exposure,66,28.01,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:29,5,2,parental.exposure,63,28,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:30,6,1,parental.exposure,65,30.33,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:30,6,2,parental.exposure,67,30.35,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:29,7,1,parental.exposure,63,30.34,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:29,7,2,parental.exposure,64,30.38,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:30,8,1,parental.exposure,61,28.28,NA,NA,NA,VS,,Stormy/Cloudy,,
20180720,17:30,8,2,parental.exposure,56,28.07,NA,NA,NA,VS,,Stormy/Cloudy,,
20180721,12:03,5,1,parental.exposure,288,28.01,NA,NA,NA,VS,,Clear/Sunny,,
20180721,12:02,5,2,parental.exposure,301,28.04,NA,NA,NA,VS,,Clear/Sunny,,
20180721,12:02,6,1,parental.exposure,305,30.2,NA,NA,NA,VS,,Clear/Sunny,,
20180721,12:01,6,2,parental.exposure,355,30.19,NA,NA,NA,VS,,Clear/Sunny,,
20180721,12:01,7,1,parental.exposure,362,30.25,NA,NA,NA,VS,,Clear/Sunny,,
20180721,12:00,7,2,parental.exposure,228,30.32,NA,NA,NA,VS,,Clear/Sunny,,
20180721,11:59,8,1,parental.exposure,220,28.22,NA,NA,NA,VS,,Clear/Sunny,,
20180721,11:59,8,2,parental.exposure,82,28.19,NA,NA,NA,VS,,Clear/Sunny,,
20180722,12:21,5,1,parental.exposure,209,28.01,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:21,5,2,parental.exposure,378,27.99,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:20,6,1,parental.exposure,355,30.25,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:20,6,2,parental.exposure,348,30.28,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:22,7,1,parental.exposure,378,30.3,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:23,7,2,parental.exposure,289,28,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:23,8,1,parental.exposure,220,28.03,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,12:24,8,2,parental.exposure,66,28.04,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:32,5,1,parental.exposure,27,28.11,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:32,5,2,parental.exposure,28,28.12,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:29,6,1,parental.exposure,26,29.82,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:30,6,2,parental.exposure,27,29.8,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:30,7,1,parental.exposure,25,29.91,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:31,7,2,parental.exposure,23,29.94,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:32,8,1,parental.exposure,22,28.07,NA,NA,NA,VS,,Stormy/Cloudy,,
20180722,18:33,8,2,parental.exposure,25,28.1,NA,NA,NA,VS,,Stormy/Cloudy,,
20180723,14:00,5,1,parental.exposure,1255,29.11,NA,NA,NA,VS,,Stormy/Cloudy,,1255
20180723,14:01,5,2,parental.exposure,1225,29.08,NA,NA,NA,VS,,Stormy/Cloudy,,1225
20180723,14:01,6,1,parental.exposure,1026,31.81,NA,NA,NA,VS,,Stormy/Cloudy,,1026
20180723,14:03,6,2,parental.exposure,1485,31.87,NA,NA,NA,VS,,Stormy/Cloudy,,1485
20180723,14:04,7,1,parental.exposure,1488,31.99,NA,NA,NA,VS,,Stormy/Cloudy,,1488
20180723,14:04,7,2,parental.exposure,1260,32.04,NA,NA,NA,VS,,Stormy/Cloudy,,1260
20180723,14:05,8,1,parental.exposure,1446,29.49,NA,NA,NA,VS,,Stormy/Cloudy,,1446
20180723,14:06,8,2,parental.exposure,1120,29.4,NA,NA,NA,VS,,Stormy/Cloudy,,1120
20180723,,5,1,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,5,2,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,6,1,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,6,2,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,7,1,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,7,2,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,8,1,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,
20180723,,8,2,parental.exposure,,,NA,NA,NA,VS,,Clear/Sunny,,